scan_num, scan_time, type, bpi, bpi_mz, tic, num_peaks, num_deisotoped
45004,78.5450,1,20673862,811.40668,714274430,1114,0
45017,78.5710,1,29504248,798.75696,612513790,1071,0
45030,78.5959,1,51328776,798.75732,737427460,1228,0
45043,78.6237,1,90900096,798.75787,969228930,1433,0
45056,78.6499,1,105545184,798.75745,933942400,1234,0
45069,78.6753,1,160485456,798.75751,1377128600,1234,0
45082,78.7003,1,136861040,798.75708,1218210400,1184,0
45095,78.7272,1,121469824,798.75714,1223933100,1224,0
45108,78.7537,1,108085024,798.75677,1318613400,1220,0
45121,78.7795,1,80550.5546875,302.28702,344459.12,9,0
45128,78.7939,1,59981084,798.75769,987937730,1344,0
45141,78.8197,1,34990236,798.75775,895195330,1351,0
45154,78.8462,1,46942544,841.77631,924729790,1480,0
45167,78.8725,1,60849784,841.77625,964832900,1397,0
45180,78.8993,1,66032448,841.77570,1115853800,1314,0
45193,78.9255,1,58145368,841.77551,1244843400,1359,0
45206,78.9507,1,42611848,841.77563,1082740500,1335,0
45219,78.9728,1,31858490,841.77533,1031927600,1298,0
45232,78.9984,1,22946506,685.88892,1068074200,1272,0
45245,79.0250,1,29676284,685.88910,997356930,1303,0
45258,79.0504,1,31479116,685.88934,873855870,1293,0
45271,79.0727,1,29835932,685.88953,759891010,1320,0
45284,79.0974,1,30408930,685.88934,812739650,1424,0
45297,79.1251,1,28857056,685.88928,879931840,1351,0
45310,79.1501,1,20921886,685.88916,817180220,1299,0
45323,79.1742,1,23298484,726.47742,914062980,1247,0
45336,79.1987,1,26368868,635.35046,847236930,1242,0
45349,79.2255,1,34671720,635.35046,1016843900,1187,0
45362,79.2472,1,35929320,635.35034,1016186000,1179,0
45375,79.2740,1,28530976,635.35016,961744380,1139,0
45388,79.2994,1,25899540,629.38831,1073685400,1202,0
45401,79.3260,1,33688548,629.38849,958727230,1228,0
45411,79.3450,1,41951736,629.38843,1080693800,1265,0
45424,79.3721,1,46418892,629.38849,1119411300,1229,0
45437,79.3987,1,56335960,1037.55872,1266636000,1207,0
45450,79.4239,1,37515000,1037.55896,994131070,1286,0
45463,79.4528,1,35897896,1037.55920,965984380,1341,0
45465,79.4564,1,38703116,1037.55920,1020265300,1325,0
45478,79.4809,1,27913174,1037.55896,848717380,1309,0
45491,79.5081,1,18889514,1037.55933,696225600,1395,0
45504,79.5356,1,15004763,673.10168,653312190,1440,0
45517,79.5615,1,18479938,886.07538,685598660,1469,0
45530,79.5881,1,15530280,886.07581,527073600,1570,0
45543,79.6171,1,13357896,886.07617,447446210,1619,0
45556,79.6447,1,13043534,886.07666,451362690,1574,0
45569,79.6725,1,10075978,886.07635,422516580,1724,0
45582,79.7002,1,7358794,886.07654,360270400,1727,0
45595,79.7279,1,5007407,652.36340,309409090,1736,0
45608,79.7539,1,6915997.5,652.36304,270767390,1633,0
45621,79.7829,1,12912183,652.36292,351636740,1605,0
45634,79.8105,1,16657958,652.36304,367290210,1501,0
45647,79.8373,1,20801572,652.36279,425566910,1430,0
45660,79.8663,1,22325558,652.36261,437734590,1417,0
45673,79.8939,1,19572754,652.36249,443453980,1352,0
45686,79.9204,1,20439548,652.36249,519268900,1335,0
45699,79.9494,1,16507039,868.81775,572360640,1323,0
45712,79.9769,1,12625129,868.81818,549477820,1420,0
45725,80.0043,1,13640491,784.40582,709596990,1374,0
45738,80.0302,1,19811080,731.62640,947359420,1466,0
45751,80.0576,1,25483712,731.62646,958398720,1306,0
45764,80.0797,1,41065820,906.77344,1215665000,1260,0
45777,80.1051,1,71803392,906.77325,1481112700,1184,0
45790,80.1283,1,91993296,906.77332,1604896500,1245,0
45803,80.1552,1,96852832,906.77301,1560764300,1197,0
45816,80.1821,1,79881536,906.77313,1521298800,1248,0
45829,80.2035,1,55357268,906.77368,1461023500,1232,0
45842,80.2295,1,78779928,940.52753,1524888300,1245,0
45855,80.2565,1,89150208,940.52747,1351007500,1224,0
45868,80.2844,1,69171904,940.52783,1073216000,1208,0
45881,80.3090,1,39517648,598.36969,773753540,1286,0
45894,80.3352,1,61678128,598.36975,756607490,1236,0
45907,80.3610,1,89214928,598.36969,712971460,1142,0
45920,80.3886,1,128342576,598.36957,757041280,1045,0
45933,80.4136,1,159766800,598.36938,764355840,934,0
45946,80.4402,1,208702208,598.36932,885239170,862,0
45959,80.4671,1,258018544,598.36926,1000905900,803,0
45972,80.4933,1,303001632,598.36938,1135680100,749,0
45985,80.5187,1,322149984,598.36920,1205435000,699,0
45998,80.5475,1,327243232,598.36932,1265695400,673,0
